Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	880	28	1	04/27/26 09:15:53 AM	
131	880	34	1	04/27/26 09:15:54 AM	
132	880	25	1	04/27/26 09:15:55 AM	
133	880	43	1	04/27/26 09:15:56 AM	
134	880	31	1	04/27/26 09:15:57 AM	
135	880	29	1	04/27/26 09:15:59 AM	
136	880	26	1	04/27/26 09:16:00 AM	
137	880	35	1	04/27/26 09:16:01 AM	
138	880	35	1	04/27/26 09:16:02 AM	
139	880	35	1	04/27/26 09:16:03 AM	
140	880	42	1	04/27/26 09:16:04 AM	
141	880	36	1	04/27/26 09:16:06 AM	
142	880	23	1	04/27/26 09:16:07 AM	
143	880	40	1	04/27/26 09:16:08 AM	
144	880	30	1	04/27/26 09:16:09 AM	
145	880	30	1	04/27/26 09:16:10 AM	
146	880	35	1	04/27/26 09:16:11 AM	
147	880	37	1	04/27/26 09:16:13 AM	
148	880	35	1	04/27/26 09:16:14 AM	
149	880	31	1	04/27/26 09:16:15 AM	
150	880	41	1	04/27/26 09:16:16 AM	
151	880	33	1	04/27/26 09:16:17 AM	
152	880	33	1	04/27/26 09:16:18 AM	
153	880	33	1	04/27/26 09:16:20 AM	
154	880	31	1	04/27/26 09:16:21 AM	
155	880	31	1	04/27/26 09:16:22 AM	
156	880	37	1	04/27/26 09:16:23 AM	
157	880	41	1	04/27/26 09:16:24 AM	
158	880	34	1	04/27/26 09:16:25 AM	
159	880	38	1	04/27/26 09:16:27 AM	
160	880	28	1	04/27/26 09:16:28 AM	
161	880	26	1	04/27/26 09:16:29 AM	
162	880	27	1	04/27/26 09:16:30 AM	
163	880	44	1	04/27/26 09:16:31 AM	
164	880	33	1	04/27/26 09:16:33 AM	
165	880	31	1	04/27/26 09:16:34 AM	
166	880	31	1	04/27/26 09:16:35 AM	
167	880	33	1	04/27/26 09:16:36 AM	
168	880	27	1	04/27/26 09:16:37 AM	
169	880	36	1	04/27/26 09:16:39 AM	
170	880	32	1	04/27/26 09:16:40 AM	
171	880	32	1	04/27/26 09:16:41 AM	
172	880	33	1	04/27/26 09:16:42 AM	
173	880	36	1	04/27/26 09:16:43 AM	
174	880	40	1	04/27/26 09:16:44 AM	
175	880	36	1	04/27/26 09:16:46 AM	
176	880	30	1	04/27/26 09:16:47 AM	
177	880	40	1	04/27/26 09:16:48 AM	
178	880	36	1	04/27/26 09:16:49 AM	
179	880	32	1	04/27/26 09:16:50 AM	
180	880	33	1	04/27/26 09:16:52 AM	
181	880	37	1	04/27/26 09:16:53 AM	
182	880	39	1	04/27/26 09:16:54 AM	
183	880	42	1	04/27/26 09:16:55 AM	
184	880	32	1	04/27/26 09:16:56 AM	
185	880	36	1	04/27/26 09:16:57 AM	
186	880	39	1	04/27/26 09:16:59 AM	
187	880	36	1	04/27/26 09:17:00 AM	
188	880	45	1	04/27/26 09:17:01 AM	
189	880	37	1	04/27/26 09:17:02 AM	
190	880	28	1	04/27/26 09:17:03 AM	
191	880	35	1	04/27/26 09:17:05 AM	
192	880	34	1	04/27/26 09:17:06 AM	
193	880	32	1	04/27/26 09:17:07 AM	
194	880	40	1	04/27/26 09:17:08 AM	
195	880	40	1	04/27/26 09:17:09 AM	
196	880	34	1	04/27/26 09:17:10 AM	
197	880	42	1	04/27/26 09:17:12 AM	
198	880	36	1	04/27/26 09:17:13 AM	
199	880	34	1	04/27/26 09:17:14 AM	
200	880	33	1	04/27/26 09:17:15 AM	
201	880	37	1	04/27/26 09:17:16 AM	
202	880	28	1	04/27/26 09:17:18 AM	
203	880	36	1	04/27/26 09:17:19 AM	
204	880	30	1	04/27/26 09:17:20 AM	
205	880	26	1	04/27/26 09:17:21 AM	
206	880	35	1	04/27/26 09:17:22 AM	
207	880	31	1	04/27/26 09:17:23 AM	
208	880	35	1	04/27/26 09:17:25 AM	
209	880	38	1	04/27/26 09:17:26 AM	
210	880	37	1	04/27/26 09:17:27 AM	
211	880	45	1	04/27/26 09:17:28 AM	
212	880	42	1	04/27/26 09:17:29 AM	
213	880	35	1	04/27/26 09:17:31 AM	
214	880	33	1	04/27/26 09:17:32 AM	
215	880	30	1	04/27/26 09:17:33 AM	
216	880	41	1	04/27/26 09:17:34 AM	
217	880	38	1	04/27/26 09:17:35 AM	
218	880	33	1	04/27/26 09:17:37 AM	
219	880	32	1	04/27/26 09:17:38 AM	
220	880	40	1	04/27/26 09:17:39 AM	
221	880	37	1	04/27/26 09:17:40 AM	
222	880	40	1	04/27/26 09:17:41 AM	
223	880	39	1	04/27/26 09:17:42 AM	
224	880	33	1	04/27/26 09:17:44 AM	
225	880	26	1	04/27/26 09:17:45 AM	
226	880	27	1	04/27/26 09:17:46 AM	
227	880	34	1	04/27/26 09:17:47 AM	
228	880	27	1	04/27/26 09:17:48 AM	
229	880	25	1	04/27/26 09:17:50 AM	
230	880	39	1	04/27/26 09:17:51 AM	
231	880	31	1	04/27/26 09:17:52 AM	
232	880	35	1	04/27/26 09:17:53 AM	
233	880	33	1	04/27/26 09:17:54 AM	
234	880	55	1	04/27/26 09:17:55 AM	
235	880	26	1	04/27/26 09:17:57 AM	
236	880	36	1	04/27/26 09:17:58 AM	
237	880	44	1	04/27/26 09:17:59 AM	
238	880	29	1	04/27/26 09:18:00 AM	
239	880	30	1	04/27/26 09:18:01 AM	
240	880	34	1	04/27/26 09:18:02 AM	
241	880	31	1	04/27/26 09:18:04 AM	
242	880	34	1	04/27/26 09:18:05 AM	
243	880	26	1	04/27/26 09:18:06 AM	
244	880	26	1	04/27/26 09:18:07 AM	
245	880	39	1	04/27/26 09:18:08 AM	
246	880	31	1	04/27/26 09:18:10 AM	
247	880	44	1	04/27/26 09:18:11 AM	
248	880	33	1	04/27/26 09:18:12 AM	
249	880	28	1	04/27/26 09:18:13 AM	
250	880	40	1	04/27/26 09:18:14 AM	
251	880	35	1	04/27/26 09:18:15 AM	
252	880	39	1	04/27/26 09:18:17 AM	
253	880	29	1	04/27/26 09:18:18 AM	
254	880	36	1	04/27/26 09:18:19 AM	
255	880	35	1	04/27/26 09:18:20 AM	
256	880	34	1	04/27/26 09:18:21 AM	
257	880	31	1	04/27/26 09:18:23 AM	
258	880	39	1	04/27/26 09:18:24 AM	
259	880	41	1	04/27/26 09:18:25 AM	
260	880	38	1	04/27/26 09:18:26 AM	
261	880	31	1	04/27/26 09:18:27 AM	
262	880	30	1	04/27/26 09:18:29 AM	
263	880	36	1	04/27/26 09:18:30 AM	
264	880	42	1	04/27/26 09:18:31 AM	
265	880	43	1	04/27/26 09:18:32 AM	
266	880	29	1	04/27/26 09:18:33 AM	
267	880	36	1	04/27/26 09:18:35 AM	
268	880	35	1	04/27/26 09:18:36 AM	
269	880	30	1	04/27/26 09:18:37 AM	
270	880	34	1	04/27/26 09:18:38 AM	
271	880	36	1	04/27/26 09:18:39 AM	
272	880	30	1	04/27/26 09:18:41 AM	
273	880	36	1	04/27/26 09:18:42 AM	
274	880	35	1	04/27/26 09:18:43 AM	
275	880	34	1	04/27/26 09:18:44 AM	
276	880	36	1	04/27/26 09:18:45 AM	
277	880	39	1	04/27/26 09:18:46 AM	
278	880	39	1	04/27/26 09:18:48 AM	
279	880	40	1	04/27/26 09:18:49 AM	
280	880	42	1	04/27/26 09:18:50 AM	
281	880	34	1	04/27/26 09:18:51 AM	
282	880	48	1	04/27/26 09:18:52 AM	
283	880	43	1	04/27/26 09:18:54 AM	
284	880	39	1	04/27/26 09:18:55 AM	
285	880	35	1	04/27/26 09:18:56 AM	
286	880	34	1	04/27/26 09:18:57 AM	
287	880	37	1	04/27/26 09:18:58 AM	
288	880	42	1	04/27/26 09:18:59 AM	
289	880	32	1	04/27/26 09:19:01 AM	
290	880	27	1	04/27/26 09:19:02 AM	
291	880	33	1	04/27/26 09:19:03 AM	
292	880	37	1	04/27/26 09:19:04 AM	
293	880	34	1	04/27/26 09:19:05 AM	
294	880	30	1	04/27/26 09:19:07 AM	
295	880	42	1	04/27/26 09:19:08 AM	
296	880	35	1	04/27/26 09:19:09 AM	
297	880	33	1	04/27/26 09:19:10 AM	
298	880	38	1	04/27/26 09:19:11 AM	
299	880	48	1	04/27/26 09:19:13 AM	
300	880	39	1	04/27/26 09:19:14 AM	
301	880	32	1	04/27/26 09:19:15 AM	
302	880	43	1	04/27/26 09:19:16 AM	
303	880	34	1	04/27/26 09:19:17 AM	
304	880	28	1	04/27/26 09:19:18 AM	
305	880	32	1	04/27/26 09:19:20 AM	
306	880	36	1	04/27/26 09:19:21 AM	
307	880	31	1	04/27/26 09:19:22 AM	
308	880	20	1	04/27/26 09:19:23 AM	
309	880	31	1	04/27/26 09:19:24 AM	
310	880	43	1	04/27/26 09:19:25 AM	
311	880	22	1	04/27/26 09:19:27 AM	
312	880	37	1	04/27/26 09:19:28 AM	
313	880	40	1	04/27/26 09:19:29 AM	
314	880	29	1	04/27/26 09:19:30 AM	
315	880	47	1	04/27/26 09:19:31 AM	
316	880	32	1	04/27/26 09:19:33 AM	
317	880	29	1	04/27/26 09:19:34 AM	
318	880	35	1	04/27/26 09:19:35 AM	
319	880	37	1	04/27/26 09:19:36 AM	
320	880	38	1	04/27/26 09:19:37 AM	
321	880	35	1	04/27/26 09:19:39 AM	
322	880	31	1	04/27/26 09:19:40 AM	
323	880	40	1	04/27/26 09:19:41 AM	
324	880	27	1	04/27/26 09:19:42 AM	
325	880	30	1	04/27/26 09:19:43 AM	
326	880	35	1	04/27/26 09:19:44 AM	
327	880	32	1	04/27/26 09:19:46 AM	
328	880	31	1	04/27/26 09:19:47 AM	
329	880	32	1	04/27/26 09:19:48 AM	
330	880	37	1	04/27/26 09:19:49 AM	
331	880	39	1	04/27/26 09:19:50 AM	
332	880	32	1	04/27/26 09:19:51 AM	
333	880	36	1	04/27/26 09:19:53 AM	
334	880	36	1	04/27/26 09:19:54 AM	
335	880	35	1	04/27/26 09:19:55 AM	
336	880	41	1	04/27/26 09:19:56 AM	
337	880	45	1	04/27/26 09:19:57 AM	
338	880	37	1	04/27/26 09:19:59 AM	
339	880	37	1	04/27/26 09:20:00 AM	
340	880	28	1	04/27/26 09:20:01 AM	
341	880	41	1	04/27/26 09:20:02 AM	
342	880	36	1	04/27/26 09:20:03 AM	
